state,code,name,zone,address,geometry_type,coordinates
,KLX,KOLAKALUR,,,Point,"[80.627521, 16.295185999999998]"
,CLVR,CHILUVUR,,,Point,"[80.61690800000001, 16.379558]"
,KVR,KOVVUR,,,Point,"[81.726495, 17.007084]"
,GVN,GODAVARI,,,Point,"[81.77083, 17.007707]"
,KJKD,KANJIKODE,,,Point,"[76.75531600000001, 10.800919]"
West Bengal,SNKR,Sanka,SER,"Garh Dhrubeswar, West Bengal",Point,"[86.616164, 23.52693]"
Madhya Pradesh,VNK,Binaiki,SECR,"Binaiki Railway Station, Madhya Pradesh",Point,"[79.902424, 22.72003]"
West Bengal,GCN,Gocharan,ER,"Gocharan, West Bengal",Point,"[88.45836999999999, 22.277738]"
Madhya Pradesh,SEY,Seoni,SECR,"Seoni, Madhya Pradesh",Point,"[79.545769, 22.075431]"
West Bengal,SDMD,Sudamdih,SER,"Jairampur More to Baliapur, West Bengal",Point,"[86.44032, 23.654478]"
,PCLS,PCLS,,,,
,BJU,BARAUNI JN,,,Point,"[85.988748, 25.461768000000003]"
,DMO,DAMOH,,,Point,"[79.432246, 23.836693]"
,ADD,ADAS ROAD,,,Point,"[73.0346944543, 22.486628078200003]"
Gujarat,CLC,Chalala,WR,"Chalala, Gujarat",Point,"[71.16224249999999, 21.4155588]"
,RNO,RANOLI,,,Point,"[73.1122662115, 22.405252095399998]"
Rajasthan,HP,HARIPUR,NWR,"Pali, Rajasthan",Point,"[74.024928, 26.012397]"
Tripura,KUGT,Kumarghat,NFR,"Kumarghat, Tripura",Point,"[92.0348331158, 24.1506303119]"
Maharashtra,AWB,AURANGABAD,SCR,"Aurangabad, Maharashtra",Point,"[75.31064599999999, 19.859276]"
Andhra Pradesh,BNL,BEVINAHALU,SCR,"Rayalaseema Region, Andhra Pradesh",Point,"[77.21298975, 15.16697376]"
,VMC,VMC,,,,
Gujarat,SMNH,SOMNATH,WR,"Somnath, Gujarat",Point,"[70.408254, 20.896131999999998]"
