State,District,avg_RAS,station_count,avg_supply_index,avg_demand_index,total_schedule_rows,avg_route_connectivity
Chhattisgarh,Raigarh,0.7541629781385949,8,0.15572575197115196,0.05072392910794042,480,0.5
Chhattisgarh,Raipur,0.4245708763576899,24,0.15638122943271307,0.13391859008177381,1440,1.5833333333333333
Chhattisgarh,Rajnandgaon,0.8289649658348761,9,0.2205847927891515,0.04551091385515153,763,0.0
Chhattisgarh,Surguja,0.3188967678939171,6,0.019444766560045377,0.04136108024827282,48,1.3333333333333333
Goa,North Goa,0.7357143092062568,3,0.12374982407136748,0.04445381492659897,144,0.0
Goa,South Goa,0.5913284179073892,19,0.08268401100421857,0.04690846379967671,605,2.3157894736842106
Gujarat,Ahmadabad,0.18064917257103932,58,0.13219275197696756,0.45021390694062513,2970,2.2586206896551726
Gujarat,Amreli,0.223482631513139,34,0.013144192185977009,0.042675790858293344,202,0.17647058823529413
Gujarat,Anand,0.3049186568915167,15,0.1324326456964539,0.0725691253860179,766,0.8
Gujarat,Banas Kantha,0.3853359138863591,25,0.06668328050431653,0.060345045886048075,657,0.16
Gujarat,Bharuch,0.6757451554044265,10,0.4099599288192445,0.08506821411284836,1565,0.7
Gujarat,Bhavnagar,0.24742838564273087,26,0.04202126306218344,0.11651953528937477,424,2.4615384615384617
Gujarat,Dohad,0.7304280755042717,10,0.24174798819768437,0.08125658952725397,927,0.4
Gujarat,Gandhinagar,0.4794902260933649,15,0.0950266122372945,0.060892205011084735,571,0.4
Gujarat,Jamnagar,0.3762653311339662,35,0.06607155275721045,0.09228660794599892,900,1.3142857142857143
Gujarat,Junagadh,0.23609389710791245,31,0.029979831665992208,0.08394948070436666,373,1.2258064516129032
Gujarat,Kachchh,0.2823697584844763,24,0.036588404444863235,0.08469764238303994,350,1.0833333333333333
Gujarat,Kheda,0.3964247852929204,17,0.19225527357116357,0.07275167554549085,1256,0.47058823529411764
Gujarat,Mahesana,0.43810075161163975,25,0.09775925454587445,0.07769629495719903,946,1.0
Gujarat,Navsari,0.7304115428904319,8,0.40976388679462294,0.12661406943689246,1251,0.875
Gujarat,Panch Mahals,0.6369610337502445,9,0.20600258180056508,0.06982496404292264,712,0.4444444444444444
