station_code,total_schedule_rows,unique_trains_serving_station,outbound_routes,inbound_routes,route_connectivity,code,name,State,District,pc11_state_id,pc11_district_id,shrug_population,shrug_households,shrug_area,shrug_population_density,shrug_rail_dist,shrug_city_dist,shrug_city5_dist
BYR,108,108,0.0,0.0,0.0,BYR,BHAYANDAR,Maharashtra,Thane,27.0,517.0,8514678.0,1987566.0,1098.21,7753.232988226296,0.0,1.0,2.0
BYS,134,134,0.0,0.0,0.0,BYS,BARSALI,Madhya Pradesh,Betul,23.0,447.0,309151.0,67953.0,101.83,3035.952076991064,0.0,0.0,110.0
BYSA,4,4,0.0,0.0,0.0,BYSA,Basulyasutahata,West Bengal,Purba Medinipur,19.0,345.0,592714.0,125386.0,224.65,2638.388604495882,0.0,7.0,33.0
BYT,104,104,0.0,0.0,0.0,BYT,BHATAPARA,Chhattisgarh,Raipur,22.0,410.0,1483289.0,315647.0,500.58,2963.1407567222022,0.0,10.0,10.0
BYXA,74,72,0.0,0.0,0.0,BYXA,BETGARA,West Bengal,Jalpaiguri,19.0,328.0,1060351.0,243311.0,366.98,2889.3972423565315,0.0,1.0,7.0
BYY,118,117,0.0,0.0,0.0,BYY,BYREE,Odisha,Jajapur,21.0,382.0,135069.0,29204.0,91.92000000000002,1469.419060052219,0.0,30.0,55.0
BZ,35,35,0.0,0.0,0.0,BZ,BHARUR,Punjab,Sangrur,3.0,53.0,515965.0,101006.0,159.25,3239.9686028257456,0.0,22.0,26.0
BZA,264,264,17.0,17.0,34.0,BZA,VIJAYAWADA JN,Andhra Pradesh,Krishna,28.0,547.0,1722234.0,459831.0,363.85,4733.362649443452,0.0,0.0,0.0
BZB,2,2,0.0,0.0,0.0,BZB,BARRA BAZAR,West Bengal,Kolkata,19.0,342.0,4496694.0,1024928.0,185.0,24306.45405405405,2.0,3.0,3.0
BZE,35,35,0.0,0.0,0.0,BZE,BASERIA,Jharkhand,Dhanbad,20.0,354.0,1560394.0,296040.0,181.242,8609.450348153297,0.0,0.0,0.0
BZG,2,2,0.0,0.0,0.0,BZG,Bilga,Punjab,Jalandhar,3.0,37.0,1155128.0,247953.0,243.21,4749.508655071749,0.0,5.0,2.0
BZGT,3,3,0.0,0.0,0.0,BZGT,Bazurghat,Assam,Karimganj,18.0,317.0,109700.0,23151.0,19.27,5692.786715101193,0.0,30.0,308.0
BZJT,94,94,0.0,0.0,0.0,BZJT,BAZIDA JATAN,Haryana,Karnal,6.0,74.0,454810.0,93490.0,68.95,6596.2291515591005,0.0,10.0,102.0
BZK,94,94,0.0,0.0,0.0,BZK,BHAINI KHURD,Haryana,Karnal,6.0,74.0,454810.0,93490.0,68.95,6596.2291515591005,0.0,10.0,102.0
BZL,89,89,0.0,0.0,0.0,BZL,BELANAGAR,West Bengal,Haora,19.0,341.0,3074144.0,669902.0,431.5093,7124.1662694176,0.0,1.0,3.0
BZLE,33,33,0.0,0.0,0.0,BZLE,BAZARSAU,West Bengal,Murshidabad,19.0,333.0,1400692.0,284559.0,264.28000000000003,5300.030270924776,0.0,0.0,3.0
BZM,71,71,0.0,0.0,0.0,BZM,BHIMSEN,Uttar Pradesh,Kanpur Nagar,9.0,164.0,3015645.0,569962.0,321.91,9367.975521108385,0.0,3.0,3.0
BZN,182,182,0.0,0.0,0.0,BZN,BAGNAN,West Bengal,Haora,19.0,341.0,3074144.0,669902.0,431.5093,7124.1662694176,0.0,1.0,3.0
BZO,45,45,0.0,0.0,0.0,BZO,BARSOLA,Haryana,Jind,6.0,77.0,305583.0,58861.0,75.26,4060.364071219771,0.0,19.0,110.0
BZR,50,50,0.0,0.0,0.0,BZR,BISRA,Odisha,Sundargarh,21.0,374.0,738097.0,166612.0,2753.439,268.0636832702668,0.0,0.0,110.0
BZS,35,35,0.0,0.0,0.0,BZS,BANSJORA,Jharkhand,Dhanbad,20.0,354.0,1560394.0,296040.0,181.242,8609.450348153297,0.0,0.0,0.0
BZU,134,134,1.0,1.0,2.0,BZU,BETUL,Madhya Pradesh,Betul,23.0,447.0,309151.0,67953.0,101.83,3035.952076991064,0.0,0.0,110.0
BZY,190,190,0.0,0.0,0.0,BZY,BASAI,Madhya Pradesh,Shivpuri,23.0,423.0,295423.0,55682.0,119.62,2469.678983447584,0.0,0.0,45.0
CAA,38,38,0.0,0.0,0.0,CAA,CHAKIA,Bihar,Purba Champaran,10.0,204.0,401343.0,71844.0,123.75,3243.1757575757574,0.0,0.0,120.0
CABN,50,50,0.0,0.0,0.0,CABN,BHILAI CABIN,Chhattisgarh,Durg,22.0,409.0,1284765.0,277413.0,554.8600000000001,2315.4759759218537,0.0,8.0,8.0
CAER,139,139,0.0,0.0,0.0,CAER,CHHANERA,Madhya Pradesh,East Nimar,23.0,466.0,259436.0,50473.0,96.76,2681.2319140140557,0.0,0.0,78.0
CAF,12,12,2.0,2.0,4.0,CAF,Chanda Fort,Maharashtra,Chandrapur,27.0,509.0,775378.0,180458.0,290.6,2668.196834136269,0.0,5.0,102.0
